Preprocessing,K-Means - No Preprocessing,K-Means - No Preprocessing,K-Means - No Preprocessing,Hierarchical - No Preprocessing,Hierarchical - No Preprocessing,Hierarchical - No Preprocessing,Birch - No Preprocessing,Birch - No Preprocessing,Birch - No Preprocessing,K-Means - Normalize,K-Means - Normalize,K-Means - Normalize,Hierarchical - Normalize,Hierarchical - Normalize,Hierarchical - Normalize,Birch - Normalize,Birch - Normalize,Birch - Normalize,K-Means - Transform,K-Means - Transform,K-Means - Transform,Hierarchical - Transform,Hierarchical - Transform,Hierarchical - Transform,Birch - Transform,Birch - Transform,Birch - Transform,K-Means - PCA,K-Means - PCA,K-Means - PCA,Hierarchical - PCA,Hierarchical - PCA,Hierarchical - PCA,Birch - PCA,Birch - PCA,Birch - PCA,K-Means - T+N,K-Means - T+N,K-Means - T+N,Hierarchical - T+N,Hierarchical - T+N,Hierarchical - T+N,Birch - T+N,Birch - T+N,Birch - T+N,K-Means - T+N+PCA,K-Means - T+N+PCA,K-Means - T+N+PCA,Hierarchical - T+N+PCA,Hierarchical - T+N+PCA,Hierarchical - T+N+PCA,Birch - T+N+PCA,Birch - T+N+PCA,Birch - T+N+PCA
Clusters,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5
Silhouette,0.571138194,0.562032345,0.548999324,0.56447964,0.560672695,0.507484304,0.56447964,0.560672695,0.507484304,0.199191616,0.14242216,-0.035550013,0.189581175,0.108346785,0.023633994,0.189581175,0.108346785,0.023633994,0.199191616,0.160797266,0.109335831,0.189581175,0.108346785,0.023633994,0.189581175,0.108346785,0.023633994,0.199191616,0.155890092,-0.005235149,0.189581175,0.108346785,0.023633994,0.189581175,0.108346785,0.023633994,0.199191616,0.143764914,0.12497397,0.189581175,0.108346785,0.023633994,0.189581175,0.108346785,0.023633994,0.199191616,0.147391549,0.10071846,0.189581175,0.108346785,0.023633994,0.189581175,0.108346785,0.023633994
Calinski-Harabasz,561.8156579,708.0866764,787.0469221,552.8517115,670.6259906,684.2226129,552.8517115,670.6259906,684.2226129,203.0786228,147.2049715,90.31257514,172.5292086,114.9333472,85.76098508,172.5292086,114.9333472,85.76098508,203.0786228,155.8407788,111.1504487,172.5292086,114.9333472,85.76098508,172.5292086,114.9333472,85.76098508,203.0786228,149.5220631,80.88103292,172.5292086,114.9333472,85.76098508,172.5292086,114.9333472,85.76098508,203.0786228,147.6108923,110.9264902,172.5292086,114.9333472,85.76098508,172.5292086,114.9333472,85.76098508,203.0786228,146.9616445,118.2199837,172.5292086,114.9333472,85.76098508,172.5292086,114.9333472,85.76098508
Davies-Bouldin,0.534243178,0.544344691,0.545047407,0.535734307,0.55357395,0.551314525,0.535734307,0.55357395,0.551314525,1.399862208,2.921265567,3.377996307,1.542390367,3.221528969,7.78941501,1.542390367,3.221528969,7.78941501,1.399862208,3.526560159,9.641276763,1.542390367,3.221528969,7.78941501,1.542390367,3.221528969,7.78941501,1.399862208,3.731701729,8.312060343,1.542390367,3.221528969,7.78941501,1.542390367,3.221528969,7.78941501,1.399862208,3.205703223,5.760046817,1.542390367,3.221528969,7.78941501,1.542390367,3.221528969,7.78941501,1.399862208,4.572658433,3.094829286,1.542390367,3.221528969,7.78941501,1.542390367,3.221528969,7.78941501
